TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
370.00	0.630000	0.004670	0.136000	29.370000	0.002000	0.000020	0.001000	0.090000
360.00	0.640000	0.003580	0.102400	29.970000	0.002000	0.000020	0.000900	0.090000
350.00	0.649000	0.002700	0.075700	30.540000	0.002000	0.000020	0.000800	0.090000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.401200	0.088200	1.943000	15.220000	0.000200	0.000600	0.005000	0.060000
530.00	0.426240	0.071000	1.679000	17.640000	0.000070	0.000400	0.004000	0.040000
520.00	0.448100	0.057600	1.445000	19.790000	0.000100	0.000200	0.003000	0.020000
510.00	0.467000	0.047300	1.238000	21.610000	0.000300	0.000100	0.003000	0.020000
500.00	0.483700	0.039120	1.054000	23.180000	0.000400	0.000090	0.002000	0.020000
490.00	0.498700	0.032420	0.892000	24.560000	0.000400	0.000060	0.002000	0.030000
480.00	0.512600	0.026860	0.749000	25.820000	0.000400	0.000050	0.001000	0.030000
470.00	0.525800	0.022180	0.624000	26.980000	0.000400	0.000040	0.001000	0.020000
460.00	0.538300	0.018230	0.516000	28.080000	0.000300	0.000030	0.001000	0.020000
450.00	0.550300	0.014900	0.422000	29.100000	0.000200	0.000030	0.001000	0.020000
440.00	0.561600	0.012090	0.342100	30.059000	0.000100	0.000020	0.000900	0.006000
430.00	0.572500	0.009730	0.274000	30.970000	0.000300	0.000020	0.000800	0.020000
420.00	0.583100	0.007750	0.216900	31.840000	0.000500	0.000020	0.000700	0.030000
410.00	0.593500	0.006110	0.169400	32.670000	0.000400	0.000020	0.000600	0.030000
400.00	0.603500	0.004760	0.130400	33.470000	0.000300	0.000020	0.000500	0.020000
390.00	0.613000	0.003660	0.098800	34.230000	0.000400	0.000010	0.000400	0.030000
380.00	0.622200	0.002770	0.073600	34.950000	0.000600	0.000010	0.000300	0.040000
370.00	0.631400	0.002058	0.053700	35.660000	0.000700	0.000009	0.000200	0.050000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.416600	0.082200	1.881000	16.250000	0.000300	0.000400	0.005000	0.050000
530.00	0.440000	0.066400	1.626000	18.580000	0.000300	0.000300	0.004000	0.040000
520.00	0.460300	0.054300	1.400000	20.580000	0.000300	0.000200	0.003000	0.030000
510.00	0.478100	0.044900	1.199000	22.270000	0.000300	0.000200	0.003000	0.030000
500.00	0.494000	0.037300	1.021000	23.740000	0.000300	0.000100	0.002000	0.020000
490.00	0.508600	0.031000	0.863000	25.060000	0.000300	0.000080	0.002000	0.020000
480.00	0.522200	0.025710	0.725000	26.280000	0.000300	0.000060	0.001000	0.020000
470.00	0.535000	0.021250	0.604000	27.400000	0.000300	0.000040	0.001000	0.020000
